PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0802310009,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,785900,785900,785900
0802310010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,346500,346500,346500
0802310011,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,435700,435700,435700
0802310175,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,689400,689400,689400
0802330001,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,598500,598500,598500
0802330002,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,557000,557000,557000
0802330003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,716800,716800,716800
0802330004,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,602100,602100,602100
0802330005,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,547700,547700,547700
0802330006,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,567800,567800,567800
0802330007,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,560000,560000,560000
0802330008,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,630700,630700,630700
0802330009,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,556200,556200,556200
0802330010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,593500,593500,593500
0802330011,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,602100,602100,602100
0802330012,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,348200,348200,348200
0802330028,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,605000,605000,605000
0802330029,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,609300,609300,609300
0802330030,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,624600,624600,624600
0802330031,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,619300,619300,619300
0802330032,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,666000,666000,666000
0802330033,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,640400,640400,640400
0802330034,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,605400,605400,605400
0802330035,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,737800,737800,737800
0802330036,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,679800,679800,679800
0802330037,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,571800,571800,571800
0802330038,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,641300,641300,641300
0802330039,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,639200,466200,639200
0802330040,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,729800,729800,729800
0802330041,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,739000,739000,739000
0802330042,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,756500,756500,756500
0802330043,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,686300,686300,686300
0802330044,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,698500,698500,698500
0802330045,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,673200,673200,673200
0802330046,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,652600,652600,652600
0802330047,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,664600,664600,664600
0802330048,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,690700,690700,690700
0802330049,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,636800,636800,636800
0802330050,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,633900,633900,633900
0802330051,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,659200,659200,659200
0802330052,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,709200,709200,709200
0802330053,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,619000,619000,619000
0802330054,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,635400,635400,635400
0802330055,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,724400,724400,724400
0802330056,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,717000,717000,717000
0802330057,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,642300,642300,642300
0802330058,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,658400,658400,658400
0802330059,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,733800,733800,733800
0802330060,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,675500,675500,675500
0802330061,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,609900,609900,609900
0802330062,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,680200,680200,680200
0802330063,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,694500,694500,694500
0802330064,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,671200,671200,671200
0802330065,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,715000,715000,715000
0802330066,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,662500,662500,662500
0802330067,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,703200,703200,703200
0802330068,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,682200,682200,682200
0802330069,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,643000,643000,643000
0802330070,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,657000,657000,657000
0802330071,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,716800,716800,716800
0802330072,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,686900,686900,686900
0802330073,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,752400,752400,752400
0802330074,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,718800,718800,718800
0802330075,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,679000,679000,679000
