PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0700500023,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1125100,1125100,1125100
0700500024,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1008800,1008800,1008800
0700500025,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2085200,2085200,2085200
0700500026,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1308200,1308200,1308200
0700500027,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1913400,1913400,1913400
0700500028,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1235700,1235700,1235700
0700500029,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1116300,1116300,1116300
0700500030,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1331900,1331900,1331900
0700500031,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1567500,1567500,1567500
0700500032,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,100,100,100
0700500033,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,55300,55300,55300
0700500034,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,1098900,1098900,1987700
0700500035,TRS2,RED CLAY SCHOOL DIST-TRES,7,ER,0,0,5760300
0700500036,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,99800,99800,99800
0700500037,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,688000,688000,2806600
0700500038,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1982600,1982600,1982600
0700500040,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1763800,1763800,1763800
0700500040R,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,0,0,0
0700600001,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,769600,769600,769600
0700600002,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1836400,1836400,1836400
0700600003,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1085600,1085600,1085600
0700600004,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,715100,715100,715100
0700600005,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2424000,2424000,2424000
0700600006,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1377900,1377900,1377900
0700600008,TRS2,RED CLAY SCHOOL DIST-TRES,7,C,407600,407600,407600
0700600009,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,541700,541700,541700
0700600010,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,686800,686800,686800
0700600011,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,635600,635600,635600
0700600012,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,760900,760900,760900
0700600013,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,970700,970700,970700
0700600014,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,597500,597500,597500
0700600015,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,603700,603700,603700
0700600016,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,591000,591000,591000
0700600017,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,681400,681400,681400
0700600018,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,577100,577100,577100
0700600019,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,916800,916800,916800
0700600020,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1091000,1091000,1091000
0700600021,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,3188200,3188200,3188200
0700600022,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,712400,712400,712400
0700600023,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,822000,822000,822000
0700600024,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1106200,1106200,1106200
0700600025,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,708100,708100,708100
0700600026,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,762900,762900,762900
0700600027,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,820300,820300,820300
0700600028,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,747300,747300,747300
0700600029,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,700600,700600,700600
0700600030,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,896500,896500,896500
0700600031,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,740900,740900,740900
0700600032,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,896300,896300,896300
0700600033,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1025400,1025400,1025400
0700600034,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,934700,934700,934700
0700600035,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,671700,671700,671700
0700600037,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,872200,872200,872200
0700600038,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1199800,1199800,1199800
0700600039,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,90800,90800,90800
0700600040,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,867100,867100,867100
0700600041,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,617700,617700,617700
0700600042,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,814700,814700,814700
0700600043,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,609600,609600,609600
0700600044,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,661000,661000,661000
0700600045,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,784300,784300,784300
0700600046,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,561400,561400,561400
0700600047,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,677400,677400,677400
0700600048,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,802100,802100,802100
0700600049,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,363600,363600,363600
0700600050,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,194400,194400,367400
0700600051,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,349700,349700,522700
0700600052,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,317800,317800,317800
0700600053,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,484200,484200,484200
0700600054,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,583600,583600,583600
0700600055,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1124200,1124200,1124200
0700600058,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,604000,604000,604000
0700600059,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,844700,844700,844700
0700600060,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,415100,415100,415100
0700600061,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,310300,310300,310300
0700600062,TRS2,RED CLAY SCHOOL DIST-TRES,7,U,220100,220100,220100
0700600065,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1005700,1005700,1005700
0700600066,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1637600,1637600,1637600
0700600067,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2519900,2519900,2519900
0700600069,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1120100,1120100,1120100
0700600070,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,784700,784700,784700
0700600071,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1003700,1003700,1003700
0700600072,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1003400,1003400,1003400
0700600073,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1477000,1477000,1477000
0700600074,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,766700,766700,766700
0700600075,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1071800,1071800,1071800
0700600076,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,797100,797100,797100
0700600077,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,736300,736300,736300
0700600078,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,807800,807800,807800
0700600079,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,903500,903500,903500
0700600080,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,765400,765400,765400
0700600081,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,48700,48700,48700
0700600082,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1142400,1142400,1142400
